id,jargon,definition,analogy,example,category
4b4b6187-073b-4645-89e9-6e489c2d011f,XGBoost,XGBoost is a type of machine learning model that uses decision trees to make predictions. It's like a combination of many simple decision-making trees that work together to get the best answer.,"Imagine a group of friends trying to guess the weather. Each friend has a simple way to guess (like ""it's sunny if it's warm""). XGBoost is like taking all their guesses and combining them to make a super accurate prediction.","A company uses XGBoost to predict customer churn, or when a customer stops using their service, by analyzing data like how long they've been a customer and how often they use the service.",ML Models
b534e6ad-21f2-4184-9d39-32e81760cc24,LightGBM,LightGBM is a type of machine learning model that helps computers make predictions by looking at data in small chunks. This makes it faster and more efficient.,"Imagine a librarian sorting books on a shelf. They take a few books at a time, quickly look at the titles, and then put them in the right order. LightGBM does something similar with data, but instead of books, it's looking at data points and making predictions.","A website using LightGBM to predict which products you might be interested in, based on what you've looked at before.",ML Models
40cdcce0-2ea2-412a-b736-e7b578942177,CatBoost,CatBoost is a type of machine learning model that uses a technique called gradient boosting to make predictions. It's like a team of experts working together to make a good guess.,"Imagine a group of friends trying to guess the number of candies in a jar. Each friend makes a guess, and then they all work together to make a more accurate guess. CatBoost does something similar, using many weak models to make a strong prediction.","CatBoost is used in a company to predict customer churn, or when a customer stops using their service. By analyzing customer data and behavior, CatBoost can help the company identify which customers are at risk of leaving and take steps to keep them.",ML Models
6f10d8db-fc6f-449a-aca3-e3ba94cabec6,Hierarchical Clustering,"Hierarchical Clustering is a way to group similar things together based on how similar they are. It creates a tree-like structure, where similar things are closer to each other, and less similar things are farther apart.","Imagine you're organizing a big box of different colored socks. You start by grouping the socks that are closest in color together, then the next closest, and so on. As you keep grouping, you create a tree-like structure of similar socks.","A company uses Hierarchical Clustering to group customers based on their shopping habits, so they can offer targeted promotions and discounts.",ML Models
b9e141e7-591b-40a6-89f3-83e843b77ced,Convolutional Neural Network,A Convolutional Neural Network is a type of computer program that helps machines see and understand images by looking at small parts of the picture at a time. It's like a pair of glasses that helps the machine focus on specific details.,"Imagine a detective trying to solve a puzzle by looking at small clues, like a torn piece of fabric or a suspicious footprint. The detective focuses on each clue separately before putting the whole picture together.","A self-driving car using a Convolutional Neural Network to recognize and follow traffic lights, road signs, and pedestrians.",ML Models
c22a1f39-581a-4621-892c-1008de59218a,Principal Component Analysis,Principal Component Analysis is a way to simplify a lot of data by finding the most important features that explain it. Imagine it like a big box of different colored crayons – PCA helps find the few colors that make the most beautiful picture.,Imagine taking a big pile of clothes and trying to find the most essential items to pack for a trip. PCA is like a personal stylist that helps you pick the few clothes that make the most impact.,"A company uses PCA to analyze customer reviews and find the most important factors that affect customer satisfaction, such as price, quality, and service.",ML Models
a0d41656-e503-452c-950f-02e54f2022b6,Neural Network,"A neural network is a way to teach a machine to learn from data by creating a model that is inspired by how our brains work. It's made up of layers that process information, kind of like how our brain processes thoughts and memories.","Imagine a team of workers sorting letters in a post office. Each worker looks at the address on the letter and makes a decision about where to send it next. The neural network is like a big team of these workers, each one looking at a piece of information and sending it to the next worker to make the next decision.","Self-driving cars use neural networks to recognize roads, traffic lights, and pedestrians, helping them navigate safely.",ML Models
4d4ee2f9-2cc2-4693-a060-5f14c6890761,Deep Learning,Deep learning is a type of machine learning that uses many layers of information to make predictions. Think of it like a super-smart brain that can look at lots of details to understand something.,"Imagine a detective trying to solve a mystery. They start by looking at a few clues, but then they look closer at each clue, and then they think about how all the clues fit together. That's kind of like what deep learning does, but with lots of information and layers of clues.","Self-driving cars use deep learning to recognize objects on the road, like pedestrians, cars, and traffic lights, so they can navigate safely.",ML Models
e293038d-53ba-4171-92a2-d2483a449bc4,Epoch,An epoch is a single pass through the training data when a machine learning model is being trained. It's like going through a list of items once.,"Imagine reading a book from start to finish. Each time you finish the book, it's like completing an epoch. You've gone through the entire list of pages once.",,Training Concepts
1b7bc49a-1ca3-4751-81ee-250c8fa12f82,Batch,A batch is a group of data that is used to train a machine learning model at one time. Think of it like a big box of cookies.,"Imagine you're baking a batch of cookies. You put all the ingredients together, mix them, and then bake them all at once. In machine learning, a batch is like that box of cookies – a collection of data that's used to train the model all at once.","A self-driving car's training data might be a batch of 10,000 images of roads, which it uses to learn how to navigate.",Training Concepts
9311a7d2-9d1a-4c62-8bd5-a14680e8ad2d,Learning Rate,The learning rate is the speed at which a machine learning model learns from its mistakes. It's like how quickly a student corrects their work when they make a mistake.,"Imagine you're trying to hit a target with a dart. If you throw the dart too fast, you might miss the target completely. But if you throw it too slow, you might hit the target, but it would take a long time. The learning rate is like finding the perfect speed to throw the dart – not too fast, not too slow.","A model learning to recognize pictures of cats and dogs might need a high learning rate to quickly adjust its understanding of the differences between the two, but a low learning rate might be better for a model trying to learn from a small amount of data.",Training Concepts
74a0c947-2832-4cc3-96e4-6e2dcdc7d28a,Loss,Loss is a measure of how far off a machine learning model's predictions are from the correct answers. It's like a score that shows how well the model is doing.,"Imagine you're trying to hit a target with a dart. Loss is like the distance between the dart and the center of the target. The smaller the distance, the better you're doing.",A self-driving car model might have a loss of 20% if it incorrectly identifies 20% of pedestrians as obstacles.,Training Concepts
141aa328-05b5-468d-a8d0-7be310424365,Cost Function,A cost function is a way to measure how well a machine learning model is doing. It's like a report card that tells you how good or bad your predictions are.,Imagine you're trying to guess the weight of a bunch of fruits at a market. Your cost function would be like a calculator that adds up the difference between your guess and the actual weight of each fruit. The goal is to get the smallest total difference possible!,"A self-driving car's cost function would be to minimize the difference between its predicted route and the actual route it takes, so it can get you to your destination safely and efficiently.",Training Concepts
262c6722-5f76-4a0c-b549-a8816381f31e,Optimization,Optimization is the process of finding the best solution for a problem by making small changes and testing them to see what works best. It's like trying different routes to get to a destination and choosing the one that takes the least time.,Imagine you're planning a road trip and you need to find the shortest route between two cities. You can try different roads and see which one gets you there the fastest. You keep trying different roads until you find the one that works best.,"A self-driving car's algorithm uses optimization to find the best route to its destination, taking into account traffic, road conditions, and other factors.",Training Concepts
98f3e521-ac15-4638-8807-ed51d93950db,Gradient Descent,"Gradient Descent is a way to find the best settings for a machine learning model by adjusting them in the right direction, a little bit at a time. It's like slowly moving up a hill until you reach the top.","Imagine you're on a hike and you want to reach the summit. You can't see the top, but you know the direction you need to go. You take small steps, adjusting your path slightly each time, until you finally reach the top.",A self-driving car learning to navigate roads by adjusting its steering and speed slightly each time to get closer to its destination.,Training Concepts
bf905b32-f019-401d-995c-ba7d2f34ff56,Backpropagation,Backpropagation is a way to adjust the machine learning model's performance by looking at how wrong it was on previous attempts. It's like adjusting the dials on a radio to get the best sound.,"Imagine you're trying to hit a target with a dart. Each time you throw, you see how far off you are. You adjust your aim slightly and try again. This process helps you get closer to the target with each throw.",A self-driving car learning to recognize traffic lights by adjusting its predictions after seeing how far off it was on previous attempts.,Training Concepts
8e05a657-da19-4ab8-b265-0fb539ff05a9,Hyperparameter,A hyperparameter is a setting that is adjusted before training a machine learning model. It's like the controls on a camera that help it take the best picture.,Imagine adjusting the brightness and contrast settings on your TV before watching a movie. You need to get the settings just right so that the picture looks good.,"A hyperparameter might be the number of hidden layers in a neural network, which is adjusted before training to get the best results.",Training Concepts
64210df5-302f-4718-b3a6-dcbd220a70f8,Accuracy,Accuracy is a measure of how often a machine learning model makes the right prediction. It's like counting how many times you correctly guess a coin toss.,"Imagine you're trying to guess the weather by looking at the sky. If you correctly guess the weather 9 out of 10 times, your accuracy is 90%.","A self-driving car's accuracy in recognizing pedestrians is crucial for safe navigation, so it's trained to detect pedestrians correctly most of the time.",Metrics
75c7c810-7690-49c8-b327-4d93406283f2,Precision,"Precision is a measure of how accurate a machine learning model is when it says something is true. It's the number of correct ""yes"" answers divided by all the ""yes"" answers it gave.","Imagine you're a librarian trying to find books on a specific topic. Precision is like checking how many of the books you found are actually about that topic. If you found 10 books and 8 of them are correct, your precision is 80%.","A self-driving car's precision would be how often it correctly identifies a pedestrian in the road, compared to all the times it thinks it sees a pedestrian.",Metrics
e2319d2d-6f9c-4e90-a71d-0c15cd7aa9fd,Recall,Recall is a measure of how often a system correctly identifies something it should. It's like a test to see how well the system remembers the things it's learned.,"Imagine you're trying to find your favorite book in a library. Recall is like remembering where you put the book last time. If you can find it 80% of the time, your recall is 80%.",A medical diagnosis system that correctly identifies 90% of patients with a certain disease.,Metrics
481f9341-b9c0-4491-a2e2-3e2b3d371989,F1 Score,"The F1 score is a measure that shows how well a machine learning model can correctly identify something, like whether an email is spam or not. It's a balance between how many things it correctly identifies and how many things it misses.","Imagine a librarian trying to find all the books on a shelf that have a certain color cover. They might correctly find 90% of the books, but miss 10%. The F1 score would show how well they did at finding all the books, taking into account both how many they found and how many they missed.","A self-driving car's F1 score might be used to measure how well it can detect pedestrians, by comparing how many pedestrians it correctly identifies and how many it misses.",Metrics
f89a3044-4fdb-473a-9cef-f5a17fc7b9ae,True Positive,"A true positive is when a system correctly predicts something that is actually true. For example, if a medical test says you have a fever, and you actually do have a fever, that's a true positive.","Imagine you're at an airport, and the security scanner flags you for extra screening. You're actually carrying a prohibited item, so the scanner is correct in flagging you.",A self-driving car correctly identifying a pedestrian in the road.,Metrics
1ec79a0f-279c-4932-8566-fd17a211f55e,False Positive,A false positive is when a system predicts something that is actually not true. It's like when a security alarm goes off when there's no real threat.,"Imagine you're at the airport, and the security scanner beeps when you're wearing a metal belt. You're not a threat, but the system thinks you are.","A medical test that says you have a disease when you don't, or a spam filter that flags an innocent email as spam.",Metrics
5dc45783-2d67-418c-8b38-282381bb0cba,True Negative,"It is when a machine learning system correctly says that something is not a problem, when it really isn't. For example, when a doctor says you don't have a disease, and you actually don't.","Imagine a security guard at a store. They check everyone who enters, and if someone doesn't have a stolen item, they let them go. A true negative is like that person being let go, because they didn't do anything wrong.","A medical diagnosis system correctly saying that a patient doesn't have a certain disease, when they really don't.",Metrics
282aefdd-cb5c-4c7a-a381-d2e8869bafd3,False Negative,A false negative is when a machine learning system incorrectly says something is not a problem when it actually is. This can lead to missing important information.,Imagine a fire alarm that says there's no fire when there really is. The building is in danger because the alarm didn't work correctly.,"A self-driving car's collision detection system fails to alert the driver of an impending crash, allowing the accident to happen.",Metrics
d6bc7689-795f-47b6-8433-f5b34146062f,Confusion Matrix,A confusion matrix is a table that shows how well a machine learning model is doing in its predictions. It compares the model's predictions to the actual answers to see what's working and what's not.,"Imagine you're a librarian trying to categorize books into fiction and non-fiction. The confusion matrix would be like a chart showing how many books you correctly put in each category, and how many you got wrong.","A doctor using a machine learning model to diagnose diseases might use a confusion matrix to see how often the model correctly diagnoses a patient as healthy or sick, and how often it makes mistakes.",Metrics
61ad471f-af96-4195-81c1-18af6517e235,Mean Squared Error,The Mean Squared Error (MSE) is a way to measure how far the system's predictions are from the real answers. It's like calculating the average of the squared differences between what the system predicted and what actually happened.,"Imagine you're a weather forecaster, and you predict the temperature for each day. If your prediction is 10 degrees off from the actual temperature, that's a big mistake. But if your prediction is only 1 degree off, that's a smaller mistake. The Mean Squared Error is like adding up all these mistakes, squaring them, and then dividing by the total number of predictions.","A self-driving car's system might use Mean Squared Error to measure how accurately it predicts the distance to the car in front, so it can slow down or speed up accordingly.",Metrics
5c569705-dd4a-4aca-9ce2-94872eb71543,Mean Absolute Error,Mean Absolute Error is a measure of how far off a machine learning model's predictions are from the real values. It's like calculating the average distance between two points.,"Imagine you're a chef, and you're trying to guess the weight of a batch of ingredients. The Mean Absolute Error would be the average difference between your guess and the actual weight.","A self-driving car's speed predictor uses Mean Absolute Error to measure how accurate its predictions are, so it can improve its navigation system.",Metrics
e45de4fe-f5b8-48df-a5c0-5f3daeeb8891,R-Squared,R-Squared measures how well a model fits the data. It shows how much of the data the model can explain.,"Imagine you're trying to guess the number of cookies in a jar based on how full it looks. If your guess is always close to the actual number, you're doing a great job. R-Squared is like a score that shows how close your guesses are to the actual number.","A weather forecasting model that predicts temperature with 90% accuracy has a high R-Squared value, indicating it's a good fit for the data.",Metrics
2b92ab9c-7455-44a1-97ea-a13646c28a73,Bias,"Bias is when a machine learning system learns from data that is not fair or balanced, leading to incorrect or unfair decisions. It's like a camera that always takes pictures of people with blue eyes, and then thinks everyone has blue eyes.","Imagine a librarian who only recommends books by authors with the same last name as the library's owner. This librarian might not be recommending the best books, just the ones they're familiar with.","A facial recognition system that is trained on mostly white faces, and then can't recognize darker-skinned people.",Bias Ethics
99a27ea2-c094-406c-a4f9-b0ea0d153cd2,Data Bias,Data bias is when the information used to train a machine learning model is not fair or balanced. This can lead to the model making incorrect or unfair decisions.,"Imagine a photo album filled with pictures of only smiling people. If a machine learning model is trained on this album, it might think that everyone is always happy, which isn't true.",A facial recognition system that is trained on mostly white faces and doesn't work well with darker skin tones.,Bias Ethics
2f309c8c-37f3-4967-8a00-454b98e90e98,Model Bias,"Model bias is when a machine learning system makes decisions based on the data it was trained with, which can contain its own biases. This can lead to unfair or inaccurate results.","Imagine a photo filter that always makes people with darker skin tones look paler. This filter was trained on a dataset that mostly featured lighter-skinned people, so it learned to adjust the color to match what it saw most often.","A facial recognition system that incorrectly identifies people of a certain ethnicity, because the training data contained biased images.",Bias Ethics
4f0b9ecc-e90f-4700-af77-3794de1095a9,Responsibile AI,"Responsible AI is making sure that the decisions made by machines are fair, safe, and beneficial to society. This includes being transparent about how the decisions are made and avoiding harm to people or the environment.","Imagine being a guest at a dinner party. You want to make sure that the food served is safe to eat and that everyone has a good time. Responsible AI is like being a good host, making sure that the machine's actions are respectful and helpful to all.",A self-driving car learning to avoid pedestrians and other road users while also respecting traffic rules to ensure safety for everyone.,Bias Ethics
b2564b72-b214-4287-95ef-0bf74e662d6a,Variance,Variance is a measure of how spread out a set of numbers is. It shows how much the numbers differ from each other.,"Imagine you're measuring the heights of your friends. If they're all around the same height, the variance is low. But if some are really tall and some are really short, the variance is high.","A facial recognition system that incorrectly identifies people with darker skin tones as having a higher variance in their features, which can lead to biased results.",Bias Ethics
03909966-3a33-4509-8c24-1486d02ce0c9,Overfitting,"Overfitting is when a machine learning model becomes too good at recognizing the specific data it was trained on, but fails to make accurate predictions on new, unseen data. This is like trying to recognize a specific friend in a crowded room, but not being able to recognize anyone else.","Imagine trying to learn the face of your best friend by studying a single photo of them. You might be able to recognize them perfectly in that one photo, but when you see them in a different lighting or with a different hairstyle, you might not be able to recognize them at all.","A self-driving car model that is trained to recognize a specific type of road sign, but fails to recognize similar signs in different parts of the city.",Bias Ethics
dbb019c1-dcec-4e88-b8f4-bde9ae28acc6,Underfitting,"Underfitting is when a machine learning model is too simple and fails to learn from the data. This means it doesn't capture the patterns or relationships in the data, leading to poor predictions.","Imagine trying to draw a portrait of a person using only a few simple shapes like circles and squares. The portrait won't look like the person at all, because the shapes are too basic to capture the details.","A model that predicts the weather by only looking at the temperature, without considering other factors like humidity or wind speed, will likely underfit and make poor predictions.",Bias Ethics
24e1467e-fdfa-4409-8f0e-a7c8c1985e28,Fairness,"Fairness in machine learning means that the system treats everyone equally and doesn't make decisions based on personal characteristics like race, gender, or age. It's like making sure everyone has an equal chance to play on a level field.",Imagine a park with swings that are all the same height. Everyone can play on the swings without anyone being favored or disadvantaged.,"A hiring system that doesn't discriminate against candidates based on their name or location, giving everyone an equal chance to be selected for a job.",Bias Ethics
50459630-7f12-428c-b5bf-f49876d0ecc9,Explainability,"Explainability is the ability to understand why a machine learning model made a certain decision. It helps us see what factors the model used to make that decision, like looking at the ingredients in a recipe.","Imagine you're at a restaurant and you ask the chef to make you a special dish. You want to know what spices and ingredients they used, so you can make it again at home. Explainability is like asking the chef to show you their recipe.","A self-driving car's explainability feature would show you why it decided to stop at a red light, like ""the car saw a pedestrian crossing the road"" or ""there was a car stopped in front of us"".",Bias Ethics
0a45d9be-0f1d-47c3-9e03-0f10a22a337d,Ethical AI,"Ethical AI refers to the practice of creating and using artificial intelligence in a way that is fair, transparent, and respectful of human values. It involves considering the potential impact of AI on individuals and society.","Imagine a librarian who organizes books in a way that is fair and accessible to everyone. They make sure that everyone can find the information they need, without any bias towards a particular group.","A healthcare AI system that is designed to provide accurate diagnoses and treatments, without discriminating against certain patients based on their age, gender, or background.",Bias Ethics
91194aa2-dc36-4dcc-a146-fea8787c9287,Artificial Intelligence,Artificial Intelligence is when a computer system can think and learn like a human being. It's like a super-smart robot that can make decisions and solve problems on its own.,"Imagine a personal assistant who can help you with tasks, remember your preferences, and even make suggestions for you.",Virtual assistants like Siri or Alexa use AI to understand your voice commands and respond accordingly.,AI Basics
de7c8791-5d68-4c57-8f85-360977bdd934,Generative AI,"Generative AI is a type of artificial intelligence that can create new things, like images, music, or even text, based on what it has learned from existing data. It can imagine and produce new ideas on its own.","Imagine a painter who has learned to paint by looking at many different artworks. After that, the painter can create their own unique paintings, even though they've never seen the exact scene before.","A generative AI can create new images of cats, even though it's never seen a real cat before, by learning from a large collection of cat pictures.",AI Basics
529dcfce-49c5-4d1c-9949-5470151250cd,Large Language Model,"A large language model is a type of computer program that can understand and generate human-like language. It's trained on a huge amount of text data, like books, articles, and conversations, which helps it learn patterns and relationships between words.",Imagine a super-smart librarian who has read every book in the world and can recall any quote or sentence you ask for. They can even write a new story based on what they've learned.,A chatbot using a large language model to respond to user queries and have a conversation that feels natural and helpful.,AI Basics
314f6905-33ac-4bea-9b2f-1bbb24ced92f,Prompt,A prompt is a question or statement that you give to a machine learning model to get a response. It's like asking a friend a question and expecting a helpful answer.,Imagine you're asking a friend what to wear on a sunny day. You're giving them a prompt (the question) and expecting a helpful response (their answer).,"When you ask Siri to ""plan a trip to Paris,"" you're giving a prompt to the AI assistant, and it responds with a helpful plan.",AI Basics
e5bae7d5-9040-4d23-bb47-6e09bdc0d69f,Token,"A token is a small unit of information, like a word or a number, that a computer can understand. Think of it like a single Lego brick that can be combined with others to build something bigger.",Imagine you're playing Scrabble. A token is like a single letter tile that you can use to make words.,"In natural language processing, tokens are used to break down text into individual words or characters that a machine can analyze and understand.",AI Basics
30cee930-bc96-4347-b1a7-c2fcac155f55,Embedding,"An embedding is a way to turn words or numbers into special points in space that are close to each other if they're similar. For example, ""dog"" and ""cat"" might be close together because they're both animals.","Imagine a big map where countries are close together if they're friends or have similar cultures. In the same way, embeddings help machines understand relationships between words or numbers.","Language translation apps use embeddings to turn words from one language into points in space that correspond to similar words in another language, making it easier to translate.",AI Basics
6d68ec8e-a96f-43d7-88d5-74effdb1e762,Context,Context is the information or details surrounding a situation or event. It helps the system understand what's happening and make better decisions.,"Imagine you're at a party and someone says ""pass the salt."" Without knowing that you're at a party, eating food, and there's a saltshaker nearby, you might not understand what they mean.","A voice assistant like Siri or Alexa uses context to understand what you're saying. For example, if you say ""turn on the lights"" at night, it knows you're talking about the living room lights and turns them on.",AI Basics
4a089528-00eb-4d56-84f1-97cc6a0e43b0,Hallucination,"It is when a machine learning model makes up information that is not actually there. This can happen when the model is trying to fill in missing data or make predictions, but it gets things completely wrong.","Imagine you're trying to complete a puzzle with missing pieces. If you start guessing and make up pieces that aren't really there, you're ""hallucinating"" – creating something that isn't real.","A self-driving car might think it sees a pedestrian when there isn't one, and stop the car unnecessarily.",AI Basics
05dba73d-fd58-40ec-8631-b0a8fb1c26ed,Retrieval,Retrieval is when a computer searches for and finds information that matches what you're looking for. It's like searching for a specific book in a library.,"Imagine you're at a library, and you ask the librarian to find a book about a particular topic. The librarian searches through the shelves and brings you the book that matches your request.","When you type a question into a search engine like Google, it uses retrieval to find relevant websites and articles that answer your question.",AI Basics
24bba802-e65c-456a-922a-c361d54c2877,Vector Database,"A vector database is a type of database that stores data in a special way, using numbers that can be easily compared and matched. This helps computers find similar information quickly.","Imagine a big library with books on shelves. In a regular library, books are organized by author or title, but in a vector database, books are organized by their ""fingerprints"" - a unique set of numbers that describe the book's content.","A music streaming service using a vector database to find similar songs to the ones you already listen to, so you can discover new music.",AI Basics
317c494b-31fd-4a74-b173-c32953f172ca,Agentic AI,"Agentic AI is a type of AI that can make decisions and take actions on its own, like a person would. It's like a robot that can think for itself.","Imagine a personal assistant who can plan your day, make decisions, and take actions without needing you to tell them what to do. They can problem-solve and adapt to new situations.",A self-driving car using agentic AI to navigate through traffic and make decisions to reach its destination safely.,AI Basics
8c39176b-2a02-41c5-a9cf-4e6f200a9c22,Automation,Automation is when a machine or computer system does tasks on its own without needing human help. It uses rules and instructions to make decisions and complete tasks.,"Imagine a factory where robots assemble cars. They follow a set of instructions and use tools to do the job, without needing a human to tell them what to do.",A chatbot answering customer queries without needing a human customer support agent to respond.,AI Basics
cb0316be-a21f-445e-ad1d-27d8f2b85f38,Agents,"In AI, an agent is a program that makes decisions or takes actions on its own. It's like a computerized character that can think and act like a person.","Imagine a personal shopping assistant at a store. It helps you find what you need, recommends products, and even makes purchases for you.",A chatbot on a website that can understand and respond to user queries is an example of an AI agent.,AI Basics
989ef208-a5d0-4c54-abf5-9397ac1e9399,Chatbot,"A chatbot is a computer program that can have a conversation with a person, like a real person talking to you. It's like a computer that can understand and respond to questions or messages.","Imagine a virtual receptionist at a hotel. When you ask for directions, the receptionist gives you clear and helpful answers. A chatbot is like this virtual receptionist, but on your phone or computer.","When you ask Siri or Alexa a question, they're both examples of chatbots helping you find information or control your devices.",AI Basics
b81013e8-15a5-4b07-9b19-d6a811c47525,Deployment,Deployment is the process of putting a machine learning model into use in the real world. It's like taking a model from a classroom and using it in a real-life situation.,"Imagine a chef training in a kitchen, but the chef never actually serves food to customers. Deployment is like the chef finally opening their own restaurant and serving food to people.",A self-driving car company deploying a model to navigate roads and avoid accidents.,Deployment Basics
6bb5ecd6-889a-4b12-9ce4-b4269f204dc0,Inference,"Inference is when a machine learning model makes a prediction or decision based on the data it has learned from. It's like the model is saying, ""Based on what I know, I think this is likely to happen.""",Imagine you're at a coffee shop and you see someone wearing a jacket that's perfect for the rainy weather outside. You might infer that it's probably raining outside because of their jacket choice.,A self-driving car's inference system uses the data it's learned from to decide whether to slow down or speed up based on the road conditions.,Deployment Basics
de2e81bf-55cf-4c7d-aa55-b39b1183f220,API,An API is like a messenger that helps different computer systems talk to each other. It sends and receives information in a way that both systems can understand.,"Imagine you're at a restaurant and you want to order food, but you don't speak the language of the chef. You ask a translator to help you order, and they tell the chef what you want. The chef then makes your food and the translator brings it back to you. In this case, the translator is like an API, helping the restaurant (system) and you (user) communicate.","A weather app using an API to get the current temperature from a weather service, so it can display it on the user's phone.",Deployment Basics
3d71c245-5a78-4a27-a586-acaaa025bf07,Endpoint,An endpoint is a specific location on the internet where a machine learning model or application can receive requests or send data. Think of it like a street address where you can find a specific house.,"Imagine a mailbox where you send letters to a friend. The mailbox is like an endpoint, and the address on the letter is like the endpoint's location.","A web service that predicts house prices using a machine learning model might have an endpoint that receives a house's features, such as number of bedrooms and square footage, and returns a predicted price.",Deployment Basics
e8680390-8816-4cc8-883c-dfe785cb5089,Latency,Latency is the time it takes for a machine to respond to a request. It's like how long it takes for a website to load when you click on a link.,"Imagine you're waiting in line at a coffee shop. The longer you wait, the higher the latency. You want your coffee as soon as possible, right?",A video streaming service with high latency might cause a delay between when you press play and when the video starts playing.,Deployment Basics
5924d7f3-aa84-444e-8f0a-a0eec0014e1f,Monitoring,Monitoring is the process of keeping track of how well a machine learning system is working in real-life situations. It's like checking the system's vital signs to make sure it's healthy and performing as expected.,"Imagine you're a manager at a restaurant, and you need to keep an eye on how many customers are coming in, how long they're waiting for food, and how happy they are with their meals. You use this information to make sure everything runs smoothly.","A company uses monitoring to track how well their chatbot is answering customer questions, so they can fix any problems and make it more helpful over time.",Deployment Basics
dcf0e444-f9fb-4113-8594-371ea5c3fc61,Model Drift,Model drift happens when a machine learning model that was trained on old data starts making wrong predictions on new data. This can happen if the data changes over time.,"Imagine a weather forecast model that was trained on data from last year. If the weather patterns change this year, the model will keep predicting the old weather, not the new one.",A model that predicts customer churn based on historical data may start predicting wrong churn rates if the company changes its pricing strategy or the market conditions change.,Deployment Basics
